PA	CellSize	Hive
0	0.393	1.00
0	0.393	1.00
0	0.393	1.00
0	0.396	1.00
0	0.396	1.00
0	0.407	1.00
0	0.407	1.00
0	0.407	1.00
0	0.407	1.00
0	0.407	1.00
0	0.416	1.00
0	0.416	1.00
0	0.417	1.00
0	0.418	1.00
0	0.418	1.00
0	0.418	1.00
0	0.421	1.00
0	0.421	1.00
0	0.424	1.00
0	0.426	1.00
0	0.426	1.00
0	0.426	1.00
0	0.426	1.00
0	0.429	1.00
0	0.430	1.00
0	0.431	1.00
0	0.432	1.00
0	0.432	1.00
0	0.435	1.00
0	0.441	1.00
0	0.441	1.00
0	0.442	1.00
0	0.442	1.00
0	0.444	1.00
0	0.446	1.00
0	0.446	1.00
0	0.446	1.00
0	0.446	1.00
0	0.446	1.00
0	0.446	1.00
0	0.446	1.00
0	0.448	1.00
0	0.451	1.00
0	0.451	1.00
0	0.451	1.00
0	0.451	1.00
0	0.454	1.00
0	0.455	1.00
0	0.455	1.00
0	0.456	1.00
0	0.456	1.00
0	0.457	1.00
0	0.457	1.00
0	0.457	1.00
0	0.457	1.00
0	0.457	1.00
0	0.459	1.00
0	0.459	1.00
0	0.460	1.00
0	0.461	1.00
0	0.461	1.00
0	0.461	1.00
0	0.461	1.00
0	0.461	1.00
0	0.461	1.00
0	0.461	1.00
0	0.461	1.00
0	0.461	1.00
0	0.463	1.00
0	0.466	1.00
0	0.466	1.00
0	0.466	1.00
0	0.466	1.00
0	0.466	1.00
0	0.466	1.00
0	0.466	1.00
0	0.467	1.00
0	0.467	1.00
0	0.467	1.00
0	0.468	1.00
0	0.468	1.00
0	0.468	1.00
0	0.469	1.00
0	0.469	1.00
0	0.469	1.00
0	0.469	1.00
0	0.469	1.00
0	0.469	1.00
0	0.470	1.00
0	0.471	1.00
0	0.471	1.00
0	0.471	1.00
0	0.471	1.00
0	0.471	1.00
0	0.471	1.00
0	0.471	1.00
0	0.472	1.00
0	0.472	1.00
0	0.473	1.00
0	0.474	1.00
0	0.474	1.00
0	0.475	1.00
0	0.475	1.00
0	0.475	1.00
0	0.476	1.00
0	0.477	1.00
0	0.477	1.00
0	0.477	1.00
0	0.479	1.00
0	0.479	1.00
0	0.479	1.00
0	0.479	1.00
0	0.480	1.00
0	0.480	1.00
0	0.481	1.00
0	0.481	1.00
0	0.482	1.00
0	0.482	1.00
0	0.482	1.00
0	0.482	1.00
0	0.482	1.00
0	0.482	1.00
0	0.482	1.00
0	0.482	1.00
0	0.482	1.00
0	0.483	1.00
0	0.483	1.00
0	0.483	1.00
0	0.483	1.00
0	0.485	1.00
0	0.485	1.00
0	0.485	1.00
0	0.485	1.00
0	0.485	1.00
0	0.485	1.00
0	0.486	1.00
0	0.486	1.00
0	0.486	1.00
0	0.486	1.00
0	0.486	1.00
0	0.486	1.00
0	0.486	1.00
0	0.486	1.00
0	0.486	1.00
0	0.486	1.00
0	0.486	1.00
0	0.486	1.00
0	0.486	1.00
0	0.487	1.00
0	0.487	1.00
0	0.487	1.00
0	0.487	1.00
0	0.487	1.00
0	0.489	1.00
0	0.489	1.00
0	0.489	1.00
0	0.490	1.00
0	0.490	1.00
0	0.490	1.00
0	0.490	1.00
0	0.490	1.00
0	0.490	1.00
0	0.490	1.00
0	0.490	1.00
0	0.490	1.00
0	0.490	1.00
0	0.490	1.00
0	0.490	1.00
0	0.491	1.00
0	0.492	1.00
0	0.492	1.00
0	0.493	1.00
0	0.493	1.00
0	0.493	1.00
0	0.494	1.00
0	0.494	1.00
0	0.494	1.00
0	0.494	1.00
0	0.494	1.00
0	0.496	1.00
0	0.496	1.00
0	0.496	1.00
0	0.496	1.00
0	0.496	1.00
0	0.496	1.00
0	0.496	1.00
0	0.496	1.00
0	0.496	1.00
0	0.496	1.00
0	0.496	1.00
0	0.496	1.00
0	0.496	1.00
0	0.496	1.00
0	0.496	1.00
0	0.496	1.00
0	0.498	1.00
0	0.499	1.00
0	0.500	1.00
0	0.500	1.00
0	0.500	1.00
0	0.500	1.00
0	0.500	1.00
0	0.500	1.00
0	0.500	1.00
0	0.500	1.00
0	0.500	1.00
0	0.500	1.00
0	0.500	1.00
0	0.500	1.00
0	0.500	1.00
0	0.501	1.00
0	0.501	1.00
0	0.501	1.00
0	0.501	1.00
0	0.502	1.00
0	0.502	1.00
0	0.504	1.00
0	0.504	1.00
0	0.504	1.00
0	0.505	1.00
0	0.505	1.00
0	0.505	1.00
0	0.505	1.00
0	0.505	1.00
0	0.505	1.00
0	0.505	1.00
0	0.505	1.00
0	0.505	1.00
0	0.505	1.00
0	0.505	1.00
0	0.506	1.00
0	0.506	1.00
0	0.507	1.00
0	0.507	1.00
0	0.507	1.00
0	0.508	1.00
0	0.508	1.00
0	0.508	1.00
0	0.509	1.00
0	0.511	1.00
0	0.511	1.00
0	0.511	1.00
0	0.511	1.00
0	0.511	1.00
0	0.511	1.00
0	0.511	1.00
0	0.511	1.00
0	0.511	1.00
0	0.511	1.00
0	0.511	1.00
0	0.511	1.00
0	0.511	1.00
0	0.511	1.00
0	0.511	1.00
0	0.511	1.00
0	0.512	1.00
0	0.512	1.00
0	0.512	1.00
0	0.513	1.00
0	0.513	1.00
0	0.513	1.00
0	0.515	1.00
0	0.515	1.00
0	0.515	1.00
0	0.515	1.00
0	0.515	1.00
0	0.515	1.00
0	0.515	1.00
0	0.516	1.00
0	0.516	1.00
0	0.516	1.00
0	0.516	1.00
0	0.516	1.00
0	0.518	1.00
0	0.518	1.00
0	0.518	1.00
0	0.518	1.00
0	0.518	1.00
0	0.518	1.00
0	0.518	1.00
0	0.518	1.00
0	0.519	1.00
0	0.519	1.00
0	0.519	1.00
0	0.520	1.00
0	0.520	1.00
0	0.520	1.00
0	0.521	1.00
0	0.521	1.00
0	0.521	1.00
0	0.522	1.00
0	0.522	1.00
0	0.522	1.00
0	0.522	1.00
0	0.522	1.00
0	0.522	1.00
0	0.522	1.00
0	0.523	1.00
0	0.524	1.00
0	0.525	1.00
0	0.525	1.00
0	0.525	1.00
0	0.525	1.00
0	0.525	1.00
0	0.525	1.00
0	0.525	1.00
0	0.526	1.00
0	0.526	1.00
0	0.526	1.00
0	0.527	1.00
0	0.528	1.00
0	0.528	1.00
0	0.530	1.00
0	0.530	1.00
0	0.530	1.00
0	0.530	1.00
0	0.530	1.00
0	0.530	1.00
0	0.530	1.00
0	0.531	1.00
0	0.531	1.00
0	0.532	1.00
0	0.533	1.00
0	0.533	1.00
0	0.533	1.00
0	0.535	1.00
0	0.536	1.00
0	0.536	1.00
0	0.536	1.00
0	0.536	1.00
0	0.536	1.00
0	0.536	1.00
0	0.540	1.00
0	0.540	1.00
0	0.540	1.00
0	0.540	1.00
0	0.540	1.00
0	0.540	1.00
0	0.540	1.00
0	0.540	1.00
0	0.540	1.00
0	0.540	1.00
0	0.540	1.00
0	0.540	1.00
0	0.540	1.00
0	0.540	1.00
0	0.541	1.00
0	0.543	1.00
0	0.543	1.00
0	0.543	1.00
0	0.544	1.00
0	0.544	1.00
0	0.545	1.00
0	0.545	1.00
0	0.545	1.00
0	0.547	1.00
0	0.547	1.00
0	0.547	1.00
0	0.548	1.00
0	0.549	1.00
0	0.550	1.00
0	0.550	1.00
0	0.550	1.00
0	0.550	1.00
0	0.550	1.00
0	0.550	1.00
0	0.550	1.00
0	0.552	1.00
0	0.555	1.00
0	0.555	1.00
0	0.555	1.00
0	0.555	1.00
0	0.555	1.00
0	0.555	1.00
0	0.555	1.00
0	0.555	1.00
0	0.555	1.00
0	0.555	1.00
0	0.556	1.00
0	0.558	1.00
0	0.558	1.00
0	0.559	1.00
0	0.563	1.00
0	0.563	1.00
0	0.564	1.00
0	0.564	1.00
0	0.565	1.00
0	0.569	1.00
0	0.569	1.00
0	0.569	1.00
0	0.570	1.00
0	0.570	1.00
0	0.572	1.00
0	0.572	1.00
0	0.574	1.00
0	0.575	1.00
0	0.581	1.00
0	0.581	1.00
0	0.583	1.00
0	0.585	1.00
